AÑO,TRIMESTRE,PROVEEDOR,LINEAS EN SERVICIO,LINEAS PREPAGO,LINEAS POSPAGO,LINEAS ACTIVADAS,LINEAS RETIRADAS
2018,1,UNE EPM TELECOMUNICACIONES S.A.,0,0,0,0,0
2019,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,444180,194535,84782,126999,249645
2017,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13768404,3671588,1578825,1309167,10096816
2018,4,COLOMBIA MOVIL  S.A ESP,11812492,1652051,2512952,2322019,10160441
2018,3,SUMA MOVIL S.A.S.,1200,0,642,14,1200
2016,4,COMUNICACION CELULAR S A COMCEL S A,28953884,6371971,4558911,4480079,22581913
2016,3,VIRGIN MOBILE COLOMBIA S.A.S.,2397611,0,379030,334359,2397611
2017,2,ALMACENES EXITO INVERSIONES S.A.S.,931450,,209167,259365,931450
2019,1,ALMACENES EXITO INVERSIONES S.A.S.,1542278,0,211825,330893,1542278
2019,1,LOGISTICA FLASH COLOMBIA S.A.S,629210,0,138794,111242,629210
2016,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13057319,3432238,1419551,1461893,9625081
2016,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13236926,3506690,1421356,1235236,9730236
2016,1,ALMACENES EXITO INVERSIONES S.A.S.,827815,0,119894,5152,827815
2020,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15737976,4332314,1615282,1176358,11405662
2016,1,AVANTEL S.A.S,793782,339292,241540,70954,454490
2017,3,COLOMBIA MOVIL  S.A ESP,11148446,1498412,1975076,2377108,9650034
2015,4,ALMACENES EXITO INVERSIONES S.A.S.,707700,0,139423,4969,707700
2020,2,COMUNICACION CELULAR S A COMCEL S A,31534574,7421749,4942684,4740140,24112825
2019,1,MERCANET SAS,0,0,0,0,0
2020,1,AVANTEL S.A.S,2250770,544173,146715,199122,1706597
2019,3,AVANTEL S.A.S,2376084,658927,267567,223879,1717157
